track_id,album_comments,album_date_created,album_date_released,album_engineer,album_favorites,album_id,album_information,album_listens,album_producer,album_tags,album_title,album_tracks,album_type,artist_active_year_begin,artist_active_year_end,artist_associated_labels,artist_bio,artist_comments,artist_date_created,artist_favorites,artist_id,artist_latitude,artist_location,artist_longitude,artist_members,artist_name,artist_related_projects,artist_tags,artist_website,artist_wikipedia_page,set_split,set_subset,track_bit_rate,track_comments,track_composer,track_date_created,track_date_recorded,track_duration,track_favorites,track_genre_top,track_genres,track_genres_all,track_information,track_interest,track_language_code,track_license,track_listens,track_lyricist,track_number,track_publisher,track_tags,track_title
135,1,11/26/08 1:49,1/7/09 0:00,,0,58,"<p>A couple of unreleased mp3s from the fellas of Abominog, featuring Grady Runyan, Mitch (Rubin Fiberglass) Fogelman, and Mr. Wall.<em><em></em></em><em></em></p>
<p>See also: The Bad Trips<span id=""comment-124256430-content"">/Liquorball/Monoshock/BadTrip/CardinalSin/etc/etc/etc.</span></p>",3331,,[],mp3,4,Single Tracks,,,,,1,11/26/08 1:47,0,52,,,,,Abominog,,['abominog'],http://myspace.com/abominog,,training,large,256000,1,,11/26/08 1:43,11/26/08 0:00,837,0,Rock,"[45, 58]","[58, 12, 45]",,2484,en,Attribution-NonCommercial-ShareAlike 3.0 International,1832,,0,,[],Father's Day
136,1,11/26/08 1:49,1/7/09 0:00,,0,58,"<p>A couple of unreleased mp3s from the fellas of Abominog, featuring Grady Runyan, Mitch (Rubin Fiberglass) Fogelman, and Mr. Wall.<em><em></em></em><em></em></p>
<p>See also: The Bad Trips<span id=""comment-124256430-content"">/Liquorball/Monoshock/BadTrip/CardinalSin/etc/etc/etc.</span></p>",3331,,[],mp3,4,Single Tracks,,,,,1,11/26/08 1:47,0,52,,,,,Abominog,,['abominog'],http://myspace.com/abominog,,training,medium,256000,1,,11/26/08 1:43,11/26/08 0:00,509,0,Rock,"[45, 58]","[58, 12, 45]",,1948,en,Attribution-NonCommercial-ShareAlike 3.0 International,1498,,0,,[],Peel Back The Mountain Sky
137,1,11/26/08 1:49,12/1/06 0:00,,2,59,"<p>Here's the proof in the pudding that the ascent of the Japanese noise scene actually was pretty well informed by the long-enduring weirdos of the <a href=""http://en.wikipedia.org/wiki/Los_Angeles_Free_Music_Society"">Los Angeles Free Music Society</a>. Well, more than they get credit for, anyway. It's no surprise that Keiji Haino came knocking on the Doodooettes' door in the early 1980's, nor that self crowned king of noize Jojo from Hijo Kaidan claimed he threw away the rule book and started from squat after he heard the live Airway recording, and now it's available again and its lo-fi muck shines glorious even in CD format. Comprised of LAFMS stable stalwarts Rick Potts, Juan Gomez (also of Human Hands fame), Tom Recchion, Joe Potts, Chris Chapman, Dennis Duck (who also has a new reissue of vinyl-glop tomfoolery on the <a href=""http://www.poobah.com/label/"">Poo-Bah</a> label) and banshee vocalist Vetza, this set was originally an LP in 1978 and also included in the 10CD LAFMS box set years ago, but has been remastered from the original source for this disc. It blazes like few other things from Tinseltown, that's for certain; a mutant jam of unrecognizable instruments (I dare say that the blaring scrapheap that rolls over everything in the mix in the middle of track 2 might be the <em>mandolin</em>????) Totally berzerk short-circuit mayhem that probably never had a chance to co-star in <em>Urgh! A Music War</em> by a long shot. But you, dear listener, deserve to be there. (-by Brian Turner at <a href=""http://blog.wfmu.org/freeform/2007/04/recent_faves_fr.html""><em>WFMU's Beware of the Blog</em></a>)</p>",1681,,['lafms'],Live at LACE,2,Live Performance,1/1/78 0:00,1/1/98 0:00,"Los Angeles Free Music Society, Harbinger Sound","<p>Airway was a musical ensemble based within the Los Angeles Free Music Society.</p>
<p>Airway was initially a solo project of <span class=""new"">Le Forte Four</span> member Joe Potts. The first release was the <em>Airway</em> 7"", which featured subliminal messages to coincide with an art exhibition in Tokyo. <sup class=""noprint Template-Fact""></sup>In August 1978 Airway made their live debut at the Lace Gallery. This lineup featured Potts and Chip Chapman on electronics, Vetza on vocals, Rick Potts on mandolin, Dennis Duck on saxophone, Juan Gomez on bass, and <span class=""new"">Tom Recchion</span> on drums. They attempted to create subliminal messages beneath a <span class=""new"">wall of noise</span> by using tape delay. Recordings from the performance were released as <em>Live At LACE</em> by the Los Angeles Free Music Society. ""Live at LACE"" was reissued by Harbinger Sound in 2006.</p>
<p>Throughout 1978 the group performed more concerts with differing lineups, but always with Joe Potts' subliminal message experiments. The project disbanded in 1979. Airway reformed in 1998 for a performance at the Santa Monica Museum of Art, which featured 18 musicians. Recordings from the performance were released as <em>Beyond the Pink Live</em> by the <span class=""new"">Cortical Foundation</span>.</p>
<p>Their sound influenced the Japanese noise band Hijokaidan. (-via <a href=""http://en.wikipedia.org/wiki/Airway_(band)"" target=""_blank"">Wikipedia.org</a>)</p>",0,11/26/08 1:47,5,53,34.0522342,"Los Angeles, CA",-118.2436849,"Rick Potts, Juan Gomez, Tom Recchion, Joe Potts, Chris Chapman, Dennis Duck and Vetza",Airway,"Los Angeles Free Music Society, the Banshees, Le Forte Four, Human Hands",['airway'],http://www.lafms.com/,http://en.wikipedia.org/wiki/Airway_(band),training,large,256000,0,,11/26/08 1:43,4/27/78 0:00,1233,2,Experimental,"[1, 32]","[32, 1, 38]","<p>Recorded live in downtown Los Angeles at the Lace Gallery, April 27, 1978.</p>",2559,en,Attribution-NonCommercial-ShareAlike 3.0 International,1278,,1,,['lafms'],Side A
138,1,11/26/08 1:49,12/1/06 0:00,,2,59,"<p>Here's the proof in the pudding that the ascent of the Japanese noise scene actually was pretty well informed by the long-enduring weirdos of the <a href=""http://en.wikipedia.org/wiki/Los_Angeles_Free_Music_Society"">Los Angeles Free Music Society</a>. Well, more than they get credit for, anyway. It's no surprise that Keiji Haino came knocking on the Doodooettes' door in the early 1980's, nor that self crowned king of noize Jojo from Hijo Kaidan claimed he threw away the rule book and started from squat after he heard the live Airway recording, and now it's available again and its lo-fi muck shines glorious even in CD format. Comprised of LAFMS stable stalwarts Rick Potts, Juan Gomez (also of Human Hands fame), Tom Recchion, Joe Potts, Chris Chapman, Dennis Duck (who also has a new reissue of vinyl-glop tomfoolery on the <a href=""http://www.poobah.com/label/"">Poo-Bah</a> label) and banshee vocalist Vetza, this set was originally an LP in 1978 and also included in the 10CD LAFMS box set years ago, but has been remastered from the original source for this disc. It blazes like few other things from Tinseltown, that's for certain; a mutant jam of unrecognizable instruments (I dare say that the blaring scrapheap that rolls over everything in the mix in the middle of track 2 might be the <em>mandolin</em>????) Totally berzerk short-circuit mayhem that probably never had a chance to co-star in <em>Urgh! A Music War</em> by a long shot. But you, dear listener, deserve to be there. (-by Brian Turner at <a href=""http://blog.wfmu.org/freeform/2007/04/recent_faves_fr.html""><em>WFMU's Beware of the Blog</em></a>)</p>",1681,,['lafms'],Live at LACE,2,Live Performance,1/1/78 0:00,1/1/98 0:00,"Los Angeles Free Music Society, Harbinger Sound","<p>Airway was a musical ensemble based within the Los Angeles Free Music Society.</p>
<p>Airway was initially a solo project of <span class=""new"">Le Forte Four</span> member Joe Potts. The first release was the <em>Airway</em> 7"", which featured subliminal messages to coincide with an art exhibition in Tokyo. <sup class=""noprint Template-Fact""></sup>In August 1978 Airway made their live debut at the Lace Gallery. This lineup featured Potts and Chip Chapman on electronics, Vetza on vocals, Rick Potts on mandolin, Dennis Duck on saxophone, Juan Gomez on bass, and <span class=""new"">Tom Recchion</span> on drums. They attempted to create subliminal messages beneath a <span class=""new"">wall of noise</span> by using tape delay. Recordings from the performance were released as <em>Live At LACE</em> by the Los Angeles Free Music Society. ""Live at LACE"" was reissued by Harbinger Sound in 2006.</p>
<p>Throughout 1978 the group performed more concerts with differing lineups, but always with Joe Potts' subliminal message experiments. The project disbanded in 1979. Airway reformed in 1998 for a performance at the Santa Monica Museum of Art, which featured 18 musicians. Recordings from the performance were released as <em>Beyond the Pink Live</em> by the <span class=""new"">Cortical Foundation</span>.</p>
<p>Their sound influenced the Japanese noise band Hijokaidan. (-via <a href=""http://en.wikipedia.org/wiki/Airway_(band)"" target=""_blank"">Wikipedia.org</a>)</p>",0,11/26/08 1:47,5,53,34.0522342,"Los Angeles, CA",-118.2436849,"Rick Potts, Juan Gomez, Tom Recchion, Joe Potts, Chris Chapman, Dennis Duck and Vetza",Airway,"Los Angeles Free Music Society, the Banshees, Le Forte Four, Human Hands",['airway'],http://www.lafms.com/,http://en.wikipedia.org/wiki/Airway_(band),training,large,256000,0,,11/26/08 1:43,4/27/78 0:00,1231,2,Experimental,"[1, 32]","[32, 1, 38]","<p>Recorded live in downtown Los Angeles at the Lace Gallery, April 27, 1978.</p>",1909,en,Attribution-NonCommercial-ShareAlike 3.0 International,489,,2,,['lafms'],Side B
139,0,11/26/08 1:49,1/16/09 0:00,,1,60,"<p>A full ensamble of strings, drums, electronics, farfisa, horns and of course Alec's signature accordian. carnival-esque and romantic to down right murderous at times.</p>",1304,,[],Every Man For Himself,2,Album,1/1/99 0:00,,,"<p>The Eyesores originally formed in 1997 originally as an outlet for Alec's singer/songwriter, but has since developed into something far more twisted and epic. The band has gone through many shapes and forms such as being: a chamber trio or quartet with accordion and strings, and as a big band with strings, guitars, drums,electronics, brass, and hurdy- gurdies, and sometimes just Alec solo, singing and playing accordion. The band has also accompanied theater and dance troupes such as the Everett Dance Theater and has worked with Providence independent film director Laura Colella.</p>",0,11/26/08 1:47,11,54,41.8239891,"Providence, RI",-71.4128343,,Alec K. Redfearn & the Eyesores,"Haldols, Amoebic Ensemble, Mr. Gutter",['alec k redfearn and the eyesores'],http://www.aleckredfearn.com,http://en.wikipedia.org/wiki/Alec_K_Redfearn,training,medium,128000,0,,11/26/08 1:44,11/26/08 0:00,296,3,Folk,[17],[17],,702,en,Attribution-Noncommercial-No Derivative Works 3.0 United States,582,,2,,[],CandyAss
140,1,11/26/08 1:49,5/22/07 0:00,,1,61,"<p>Alec K. Redfearn &amp; The Eyesores: Ellen Santaniello (soprano); Domenick Panzarella (guitar); Steve Jobe (hurdy-gurdy); Sarah Tolan-Mee, Olivia Geiger (violin); Laura Gulley (viola); Alec K. Redfearn (accordion); Erica Schattle (bassoon); Jason <span id=""switchNoteSnippet"" style=""display: none;"">...&nbsp;&nbsp;&nbsp; <a class=""notimportantlink"" style=""cursor: pointer;"" onclick=""javascript:showelement(&quot;NoteSnippet&quot;, &quot;&quot;, &quot;switchNoteSnippet&quot;);"">Full&nbsp;Description</a></span><span id=""NoteSnippet"" style=""display: inline; visibility: visible;"">McGill (alto saxophone); Orion Rigel Dommisse (organ); Matt McLaren (drums); Frank Difficult (programming); Chris Sadlers, Margie Wienk, Ann Schattle</span></p>",1300,"Alec K. Refearn, Rob Pemberton",[],The Blind Spot,1,Album,1/1/99 0:00,,,"<p>The Eyesores originally formed in 1997 originally as an outlet for Alec's singer/songwriter, but has since developed into something far more twisted and epic. The band has gone through many shapes and forms such as being: a chamber trio or quartet with accordion and strings, and as a big band with strings, guitars, drums,electronics, brass, and hurdy- gurdies, and sometimes just Alec solo, singing and playing accordion. The band has also accompanied theater and dance troupes such as the Everett Dance Theater and has worked with Providence independent film director Laura Colella.</p>",0,11/26/08 1:47,11,54,41.8239891,"Providence, RI",-71.4128343,,Alec K. Redfearn & the Eyesores,"Haldols, Amoebic Ensemble, Mr. Gutter",['alec k redfearn and the eyesores'],http://www.aleckredfearn.com,http://en.wikipedia.org/wiki/Alec_K_Redfearn,training,small,128000,0,,11/26/08 1:44,11/26/08 0:00,253,5,Folk,[17],[17],,1593,en,Attribution-Noncommercial-No Derivative Works 3.0 United States,1299,,2,,[],Queen Of The Wires
141,0,11/26/08 1:49,1/16/09 0:00,,1,60,"<p>A full ensamble of strings, drums, electronics, farfisa, horns and of course Alec's signature accordian. carnival-esque and romantic to down right murderous at times.</p>",1304,,[],Every Man For Himself,2,Album,1/1/99 0:00,,,"<p>The Eyesores originally formed in 1997 originally as an outlet for Alec's singer/songwriter, but has since developed into something far more twisted and epic. The band has gone through many shapes and forms such as being: a chamber trio or quartet with accordion and strings, and as a big band with strings, guitars, drums,electronics, brass, and hurdy- gurdies, and sometimes just Alec solo, singing and playing accordion. The band has also accompanied theater and dance troupes such as the Everett Dance Theater and has worked with Providence independent film director Laura Colella.</p>",0,11/26/08 1:47,11,54,41.8239891,"Providence, RI",-71.4128343,,Alec K. Redfearn & the Eyesores,"Haldols, Amoebic Ensemble, Mr. Gutter",['alec k redfearn and the eyesores'],http://www.aleckredfearn.com,http://en.wikipedia.org/wiki/Alec_K_Redfearn,training,small,128000,0,,11/26/08 1:44,11/26/08 0:00,182,1,Folk,[17],[17],,839,en,Attribution-Noncommercial-No Derivative Works 3.0 United States,725,,4,,[],Ohio
142,0,11/26/08 1:50,1/25/05 0:00,,1,62,"<p>Recorded at Sound Station Seven and at home<br /> engineered by John Jacobson, Todd Jessop and Alec K. Redfearn <br /> mastered by Brad Blackwood at Euphonic Mastering</p>
<p>Alec K. Redfearn/The Eyesores: Alec K. Redfearn (vocals, various instruments, accordion, piano, Hammond b-3 organ, cymbals, Jew's harp)</p>
<p>Margie Wienk (vocals, double bass)</p>
<p>Alec Thibodeau (guitar)</p>
<p>Olivia Geiger (violin)</p>
<p>James McGill (alto <span id=""switchNoteSnippet"" style=""display: none;"">...&nbsp;&nbsp;&nbsp; <a class=""notimportantlink"" style=""cursor: pointer;"" onclick=""javascript:showelement(&quot;NoteSnippet&quot;, &quot;&quot;, &quot;switchNoteSnippet&quot;);"">Full&nbsp;Description</a></span><span id=""NoteSnippet"" style=""display: inline; visibility: visible;"">saxophone, percussion)</span></p>
<p><span id=""NoteSnippet"" style=""display: inline; visibility: visible;"">Ann Schattle (French horn)</span></p>
<p><span id=""NoteSnippet"" style=""display: inline; visibility: visible;"">Chris Saraullo (glockenspiel, tom tom)</span></p>
<p><span id=""NoteSnippet"" style=""display: inline; visibility: visible;"">Matt McLaren (drums)</span></p>
<p><span id=""NoteSnippet"" style=""display: inline; visibility: visible;"">Frank Difficult (electronics, sound effects).</span></p>",845,,[],The Quiet Room,1,Album,1/1/99 0:00,,,"<p>The Eyesores originally formed in 1997 originally as an outlet for Alec's singer/songwriter, but has since developed into something far more twisted and epic. The band has gone through many shapes and forms such as being: a chamber trio or quartet with accordion and strings, and as a big band with strings, guitars, drums,electronics, brass, and hurdy- gurdies, and sometimes just Alec solo, singing and playing accordion. The band has also accompanied theater and dance troupes such as the Everett Dance Theater and has worked with Providence independent film director Laura Colella.</p>",0,11/26/08 1:47,11,54,41.8239891,"Providence, RI",-71.4128343,,Alec K. Redfearn & the Eyesores,"Haldols, Amoebic Ensemble, Mr. Gutter",['alec k redfearn and the eyesores'],http://www.aleckredfearn.com,http://en.wikipedia.org/wiki/Alec_K_Redfearn,training,large,128000,0,,11/26/08 1:44,11/26/08 0:00,470,6,Folk,[17],[17],,1223,en,Attribution-Noncommercial-No Derivative Works 3.0 United States,848,,5,,[],Punjabi Watery Grave
144,0,11/26/08 1:50,1/6/09 0:00,,0,64,"<p><em>A</em>lthough recorded in Providence in late 1996 and early 1997, <em>Amoebiasis </em>was released on the French record label Stupeur et Trompette! in 1998.</p>",2014,Tom Buckland,[],Amoebiasis,0,Album,1/1/92 0:00,1/1/99 0:00,,"<p>The obscure, but legendary Amoebic Ensemble formed in 1992 and disbanded for the last time in 1999. The Amoebics' music was an enraged, jagged and angular variant on early American cartoon music, among other things. The band was led by Alec K. Redfearn, but members Steven Jobe, Jonathan Thomas and Matt Everett also contributed compositions to the band's repetoire. There were no guitar players or bass players, just strings, brass, accordion, mandolin/ bouzouki and 2 percussionists. The shows were swirling mathematical chaos with a lot of searing high-end, but there was enough humor and pathos for most audiences to find it entertaining. Since then, Alec K. Redfearn went on to form Alec K. Redfearn and the Eyesores, Jonathan Thomas records under the name Septimania, Matt Everett has embarked on a solo career and Steve Jobe has been writing a ballet.... (-via <a href=""http://www.myspace.com/amoebicensemble"" target=""_blank"">Myspace.com</a>)</p>
<p>photo via <a href=""http://www.aleckredfearn.com/information.html"" target=""_blank"">Alec's website</a></p>",1,11/26/08 1:47,7,56,41.8239891,"Providence, RI",-71.4128343,"Alec K. Redfearn
Shawn Wallace
Jonathan Thomas
Matthew Everett
Laura Gulley
Steve Jobe
Paige Van Antwerp",Amoebic Ensemble,Septimania,"['providence', 'amoebic ensemble', 'rhode island']",http://www.myspace.com/amoebicensemble,http://en.wikipedia.org/wiki/Amoebic_Ensemble,training,large,256000,0,,11/26/08 1:44,11/26/98 0:00,82,1,Jazz,[4],[4],,1146,en,Attribution-Noncommercial-No Derivative Works 3.0 United States,1143,,1,,[],Wire Up
145,0,11/26/08 1:50,1/6/09 0:00,,0,64,"<p><em>A</em>lthough recorded in Providence in late 1996 and early 1997, <em>Amoebiasis </em>was released on the French record label Stupeur et Trompette! in 1998.</p>",2014,Tom Buckland,[],Amoebiasis,0,Album,1/1/92 0:00,1/1/99 0:00,,"<p>The obscure, but legendary Amoebic Ensemble formed in 1992 and disbanded for the last time in 1999. The Amoebics' music was an enraged, jagged and angular variant on early American cartoon music, among other things. The band was led by Alec K. Redfearn, but members Steven Jobe, Jonathan Thomas and Matt Everett also contributed compositions to the band's repetoire. There were no guitar players or bass players, just strings, brass, accordion, mandolin/ bouzouki and 2 percussionists. The shows were swirling mathematical chaos with a lot of searing high-end, but there was enough humor and pathos for most audiences to find it entertaining. Since then, Alec K. Redfearn went on to form Alec K. Redfearn and the Eyesores, Jonathan Thomas records under the name Septimania, Matt Everett has embarked on a solo career and Steve Jobe has been writing a ballet.... (-via <a href=""http://www.myspace.com/amoebicensemble"" target=""_blank"">Myspace.com</a>)</p>
<p>photo via <a href=""http://www.aleckredfearn.com/information.html"" target=""_blank"">Alec's website</a></p>",1,11/26/08 1:47,7,56,41.8239891,"Providence, RI",-71.4128343,"Alec K. Redfearn
Shawn Wallace
Jonathan Thomas
Matthew Everett
Laura Gulley
Steve Jobe
Paige Van Antwerp",Amoebic Ensemble,Septimania,"['providence', 'amoebic ensemble', 'rhode island']",http://www.myspace.com/amoebicensemble,http://en.wikipedia.org/wiki/Amoebic_Ensemble,training,large,256000,0,,11/26/08 1:44,11/26/98 0:00,326,1,Jazz,[4],[4],,968,en,Attribution-Noncommercial-No Derivative Works 3.0 United States,883,,3,,[],Amoebiasis
